study_id	sample_id	setup
SRP252574	SRR11296098	single
SRP252574	SRR11296099	single
SRP252574	SRR11296100	single
SRP252574	SRR11296101	single
SRP252574	SRR11296102	single
SRP252574	SRR11296103	single
SRP191440	SRR8867148	paired
SRP191440	SRR8867146	paired
SRP191440	SRR8867144	paired
SRP191440	SRR8867142	paired
SRP191440	SRR8867140	paired
SRP191440	SRR8867138	paired
SRP191440	SRR8867136	paired
SRP191440	SRR8867134	paired
SRP191440	SRR8867132	paired
SRP191440	SRR8867130	paired
SRP191440	SRR8867128	paired
SRP191440	SRR8867126	paired
SRP191440	SRR8867124	paired
SRP191440	SRR8867122	paired
SRP191440	SRR8867120	paired
SRP191440	SRR8867118	paired
SRP191440	SRR8867116	paired
SRP191440	SRR8867114	paired
SRP191440	SRR8867112	paired
SRP191440	SRR8867110	paired
SRP191440	SRR8867108	paired
SRP191440	SRR8867105	paired
SRP191440	SRR8867103	paired
SRP191440	SRR8867101	paired
SRP057295	SRR1979194	single
SRP057295	SRR1979195	single
SRP057295	SRR1979196	single
SRP057295	SRR1979197	single
SRP269580	SRR12128894	paired
SRP269580	SRR12128895	paired
SRP269580	SRR12128896	paired
SRP269580	SRR12128897	paired
SRP269580	SRR12128898	paired
SRP269580	SRR12128899	paired
SRP269580	SRR12128900	paired
SRP269580	SRR12128901	paired
SRP269580	SRR12128902	paired
SRP340003	SRR16201939	paired
SRP340003	SRR16201940	paired
SRP340003	SRR16201941	paired
SRP340003	SRR16201942	paired
SRP340003	SRR16201943	paired
SRP340003	SRR16201944	paired
SRP340003	SRR16201945	paired
SRP340003	SRR16201946	paired
SRP340003	SRR16201947	paired
SRP340003	SRR16201948	paired
SRP340003	SRR16201949	paired
SRP340003	SRR16201950	paired
SRP389394	SRR20751579	single
SRP389394	SRR20751580	single
SRP389394	SRR20751581	single
SRP389394	SRR20751582	single
SRP389394	SRR20751583	single
SRP389394	SRR20751584	single
SRP389394	SRR20751585	single
SRP389394	SRR20751586	single
SRP389394	SRR20751587	single
SRP389394	SRR20751588	single
SRP389394	SRR20751589	single
SRP389394	SRR20751590	single
SRP389394	SRR20751591	single
SRP389394	SRR20751592	single
SRP389394	SRR20751593	single
SRP389394	SRR20751594	single
SRP389394	SRR20751595	single
SRP389394	SRR20751596	single
SRP389394	SRR20751597	single
SRP389394	SRR20751598	single
SRP389394	SRR20751599	single
SRP389394	SRR20751600	single
SRP389394	SRR20751601	single
SRP389394	SRR20751602	single
SRP389394	SRR20751603	single
SRP389394	SRR20751604	single
SRP389394	SRR20751605	single
SRP389394	SRR20751606	single
SRP389394	SRR20751607	single
SRP382853	SRR19761397	paired
SRP382853	SRR19761398	paired
SRP382853	SRR19761399	paired
SRP382853	SRR19761400	paired
SRP382853	SRR19761401	paired
SRP382853	SRR19761402	paired
SRP382853	SRR19761410	paired
SRP382853	SRR19761411	paired
SRP382853	SRR19761412	paired
SRP382853	SRR19761413	paired
SRP382853	SRR19761414	paired
SRP382853	SRR19761415	paired
SRP382853	SRR19761416	paired
SRP382853	SRR19761417	paired
SRP382853	SRR19761418	paired
SRP382853	SRR19761427	paired
SRP382853	SRR19761428	paired
SRP382853	SRR19761429	paired
SRP382853	SRR19761430	paired
SRP382853	SRR19761431	paired
SRP382853	SRR19761432	paired
SRP382853	SRR19761433	paired
SRP382853	SRR19761434	paired
SRP382853	SRR19761435	paired
SRP188136	SRR8710393	single
SRP188136	SRR8710395	single
SRP257881	SRR11587762	paired
SRP257881	SRR11587763	paired
SRP257881	SRR11587764	paired
SRP257881	SRR11587765	paired
SRP257881	SRR11587766	paired
SRP257881	SRR11587767	paired
SRP257881	SRR11587768	paired
SRP257881	SRR11587769	paired
SRP257881	SRR11587770	paired
SRP257881	SRR11587771	paired
SRP257881	SRR11587772	paired
SRP257881	SRR11587773	paired
SRP257881	SRR11587774	paired
SRP257881	SRR11587775	paired
SRP257881	SRR11587776	paired
SRP257881	SRR11587777	paired
SRP257881	SRR11587778	paired
SRP301905	SRR13442846	paired
SRP301905	SRR13442847	paired
SRP301905	SRR13442848	paired
SRP301905	SRR13442849	paired
SRP301905	SRR13442850	paired
SRP301905	SRR13442851	paired
SRP301905	SRR13442852	paired
SRP301905	SRR13442853	paired
SRP301905	SRR13442854	paired
SRP301905	SRR13442855	paired
SRP301905	SRR13442856	paired
SRP301905	SRR13442857	paired
SRP301905	SRR13442858	paired
SRP301905	SRR13442859	paired
SRP301905	SRR13442860	paired
SRP301905	SRR13442861	paired
SRP199719	SRR9141112	paired
SRP199719	SRR9141113	paired
SRP199719	SRR9141114	paired
SRP199719	SRR9141115	paired
SRP199719	SRR9141116	paired
SRP199719	SRR9141117	paired
SRP199719	SRR9141118	paired
SRP199719	SRR9141119	paired
SRP199719	SRR9141120	paired
SRP199719	SRR9141121	paired
SRP199719	SRR9141122	paired
SRP199719	SRR9141123	paired
SRP199719	SRR9141124	paired
SRP199719	SRR9141125	paired
SRP199719	SRR9141126	paired
SRP199719	SRR9141127	paired
SRP199719	SRR9141128	paired
SRP199719	SRR9141129	paired
SRP241942	SRR10887776	paired
SRP241942	SRR10887777	paired
SRP241942	SRR10887778	paired
SRP241942	SRR10887779	paired
SRP241942	SRR10887786	paired
SRP241942	SRR10887787	paired
SRP241942	SRR10887788	paired
SRP189988	SRR8822666	paired
SRP189988	SRR8822667	paired
SRP189988	SRR8822668	paired
SRP189988	SRR8822669	paired
SRP189988	SRR8822670	paired
SRP189988	SRR8822671	paired
SRP189988	SRR8822672	paired
SRP189988	SRR8822673	paired
SRP189988	SRR8822674	paired
SRP189988	SRR8822675	paired
SRP189988	SRR8822676	paired
SRP189988	SRR8822677	paired
SRP189988	SRR8822678	paired
SRP189988	SRR8822679	paired
SRP189988	SRR8822680	paired
SRP189988	SRR8822681	paired
SRP189988	SRR8822682	paired
SRP189988	SRR8822683	paired
SRP189988	SRR8822684	paired
SRP189988	SRR8822685	paired
SRP189988	SRR8822686	paired
SRP189988	SRR8822687	paired
SRP189988	SRR8822688	paired
SRP189988	SRR8822689	paired
SRP189988	SRR8822690	paired
SRP189988	SRR8822691	paired
SRP189988	SRR8822692	paired
SRP189988	SRR8822693	paired
SRP189988	SRR8822694	paired
SRP189988	SRR8822695	paired
SRP189988	SRR8822696	paired
SRP189988	SRR8822697	paired
SRP189988	SRR8822698	paired
SRP189988	SRR8822699	paired
SRP189988	SRR8822700	paired
SRP189988	SRR8822701	paired
SRP189988	SRR8822702	paired
SRP189988	SRR8822703	paired
SRP189988	SRR8822704	paired
SRP189988	SRR8822705	paired
SRP189988	SRR8822706	paired
SRP189988	SRR8822707	paired
SRP189988	SRR8822708	paired
SRP189988	SRR8822709	paired
SRP189988	SRR8822710	paired
SRP189988	SRR8822711	paired
SRP189988	SRR8822712	paired
SRP189988	SRR8822713	paired
SRP189988	SRR8822714	paired
SRP189988	SRR8822715	paired
SRP189988	SRR8822716	paired
SRP189988	SRR8822717	paired
SRP189988	SRR8822718	paired
SRP189988	SRR8822719	paired
SRP189988	SRR8822720	paired
SRP189988	SRR8822721	paired
SRP189988	SRR8822722	paired
SRP189988	SRR8822723	paired
SRP189988	SRR8822724	paired
SRP189988	SRR8822725	paired
SRP189988	SRR8822726	paired
SRP189988	SRR8822727	paired
SRP189988	SRR8822728	paired
SRP189988	SRR8822729	paired
SRP189988	SRR8822730	paired
SRP189988	SRR8822731	paired
SRP189988	SRR8822732	paired
SRP189988	SRR8822733	paired
SRP189988	SRR8822734	paired
SRP189988	SRR8822735	paired
SRP189988	SRR8822736	paired
SRP189988	SRR8822737	paired
SRP189988	SRR8822738	paired
SRP189988	SRR8822739	paired
SRP189988	SRR8822740	paired
SRP189988	SRR8822741	paired
SRP189988	SRR8822742	paired
SRP189988	SRR8822743	paired
SRP189988	SRR8822744	paired
SRP189988	SRR8822745	paired
SRP189988	SRR8822746	paired
SRP189988	SRR8822747	paired
SRP189988	SRR8822748	paired
SRP189988	SRR8822749	paired
SRP189988	SRR8822750	paired
SRP189988	SRR8822751	paired
SRP189988	SRR8822752	paired
SRP189988	SRR8822753	paired
SRP189988	SRR8822754	paired
SRP189988	SRR8822755	paired
SRP018405	SRR671954	single
SRP018405	SRR671955	single
SRP018405	SRR671956	single
SRP018405	SRR671957	single
SRP326606	SRR15020871	single
SRP326606	SRR15020880	single
SRP326606	SRR15020881	single
SRP323408	SRR14768214	paired
SRP323408	SRR14768215	paired
SRP323408	SRR14768216	paired
SRP323408	SRR14768217	paired
SRP329409	SRR15214339	paired
SRP329409	SRR15214340	paired
SRP329409	SRR15214341	paired
SRP331221	SRR15351389	paired
SRP331221	SRR15351390	paired
SRP331221	SRR15351391	paired
SRP331221	SRR15351392	paired
SRP331221	SRR15351393	paired
SRP090027	SRR5535471	single
SRP090027	SRR4252548	single
SRP090027	SRR5535778	single
SRP090027	SRR5535934	single
SRP287234	SRR12817261	paired
SRP287234	SRR12817262	paired
SRP287234	SRR12817263	paired
SRP287234	SRR12817264	paired
SRP287234	SRR12817265	paired
SRP287234	SRR12817266	paired
SRP287234	SRR12817267	paired
SRP287234	SRR12817268	paired
SRP287234	SRR12817269	paired
SRP287234	SRR12817270	paired
SRP287234	SRR12817271	paired
SRP287234	SRR12817272	paired
SRP287234	SRR12817273	paired
SRP070938	SRR3194197	single
SRP070938	SRR3194198	single
SRP070938	SRR3194199	single
SRP070938	SRR3194200	single
SRP090040	SRR4253065	paired
SRP090040	SRR4253066	paired
SRP090040	SRR4253067	paired
SRP090040	SRR4253068	paired
SRP090040	SRR4253069	paired
SRP090040	SRR4253070	paired
SRP090040	SRR4253071	paired
SRP090040	SRR4253072	paired
SRP310948	SRR13981643	paired
SRP310948	SRR13981644	paired
SRP310948	SRR13981645	paired
SRP310948	SRR13981646	paired
SRP310948	SRR13981647	paired
SRP310948	SRR13981648	paired
SRP310948	SRR13981649	paired
SRP310948	SRR13981650	paired
SRP310948	SRR13981651	paired
SRP310948	SRR13981652	paired
SRP310948	SRR13981653	paired
SRP310948	SRR13981654	paired
SRP287152	SRR12807632	single
SRP287152	SRR12807633	single
SRP287152	SRR12807634	single
SRP287152	SRR12807635	single
SRP287152	SRR12807636	single
SRP287152	SRR12807637	single
SRP056957	SRR1956810	single
SRP056957	SRR1956811	single
SRP056957	SRR1956812	single
SRP056957	SRR1956813	single
SRP056957	SRR1956814	single
SRP056957	SRR1956815	single
SRP056957	SRR1956816	single
SRP056957	SRR1956817	single
SRP056957	SRR1956818	single
SRP056957	SRR1956819	single
SRP056957	SRR1956820	single
SRP056957	SRR1956821	single
SRP056957	SRR1956822	single
SRP056957	SRR1956823	single
SRP056957	SRR1956824	single
SRP056957	SRR1956825	single
SRP056957	SRR1956826	single
SRP056957	SRR1956827	single
SRP056957	SRR1956828	single
SRP056957	SRR1956829	single
SRP056957	SRR1956830	single
SRP056957	SRR1956831	single
SRP056957	SRR1956832	single
SRP288670	SRR12903502	paired
SRP288670	SRR12903503	paired
SRP288670	SRR12903504	paired
SRP288670	SRR12903505	paired
SRP288670	SRR12903506	paired
SRP288670	SRR12903507	paired
SRP288670	SRR12903508	paired
SRP288670	SRR12903509	paired
SRP288670	SRR12903510	paired
SRP288670	SRR12903511	paired
SRP288670	SRR12903512	paired
SRP288670	SRR12903513	paired
SRP288670	SRR12903514	paired
SRP288670	SRR12903515	paired
SRP288670	SRR12903516	paired
ERP126780	ERR5236614	paired
ERP126780	ERR5236615	paired
ERP126780	ERR5236616	paired
ERP126780	ERR5236617	paired
ERP126780	ERR5236618	paired
ERP126780	ERR5236619	paired
ERP126780	ERR5236620	paired
ERP126780	ERR5236621	paired
ERP126780	ERR5236622	paired
ERP126780	ERR5236623	paired
ERP126780	ERR5236624	paired
ERP126780	ERR5236625	paired
ERP126780	ERR5236626	paired
ERP126780	ERR5236627	paired
ERP126780	ERR5236628	paired
ERP126780	ERR5236629	paired
ERP126780	ERR5236630	paired
ERP126780	ERR5236631	paired
ERP126780	ERR5236632	paired
ERP126780	ERR5236633	paired
ERP126780	ERR5236634	paired
ERP126780	ERR5236635	paired
ERP126780	ERR5236636	paired
ERP126780	ERR5236637	paired
ERP126780	ERR5236638	paired
ERP126780	ERR5236639	paired
ERP126780	ERR5236640	paired
ERP126780	ERR5236641	paired
ERP126780	ERR5236642	paired
ERP126780	ERR5236643	paired
ERP126780	ERR5236644	paired
ERP126780	ERR5236645	paired
ERP126780	ERR5236646	paired
ERP126780	ERR5236647	paired
ERP126780	ERR5236648	paired
ERP126780	ERR5236649	paired
ERP126780	ERR5236650	paired
ERP126780	ERR5236651	paired
ERP126780	ERR5236652	paired
ERP126780	ERR5236653	paired
ERP126780	ERR5236654	paired
ERP126780	ERR5236655	paired
ERP126780	ERR5236656	paired
ERP126780	ERR5236657	paired
ERP126780	ERR5236658	paired
ERP126780	ERR5236659	paired
ERP126780	ERR5236660	paired
ERP126780	ERR5236661	paired
ERP126780	ERR5236662	paired
ERP126780	ERR5236663	paired
SRP257684	SRR11579328	single
SRP257684	SRR11579329	single
SRP257684	SRR11579330	single
SRP257684	SRR11579331	single
SRP257684	SRR11579332	single
SRP257684	SRR11579333	single
SRP257684	SRR11579334	single
SRP257684	SRR11579335	single
SRP257684	SRR11579336	single
SRP257684	SRR11579337	single
SRP257684	SRR11579338	single
SRP257684	SRR11579339	single
SRP257684	SRR11579340	single
SRP257684	SRR11579341	single
SRP257684	SRR11579342	single
SRP257684	SRR11579343	single
SRP257684	SRR11579344	single
SRP080886	SRR3994671	paired
SRP080886	SRR3994672	paired
SRP080886	SRR3994673	paired
SRP080886	SRR3994674	paired
SRP080886	SRR3994675	paired
SRP080886	SRR3994676	paired
SRP080886	SRR3994677	paired
SRP080886	SRR3994678	paired
SRP080886	SRR3994679	paired
SRP080886	SRR3994680	paired
SRP080886	SRR3994681	paired
SRP080886	SRR3994682	paired
SRP080886	SRR3994683	paired
SRP080886	SRR3994684	paired
SRP080886	SRR3994685	paired
SRP080886	SRR3994686	paired
SRP080886	SRR3994687	paired
SRP080886	SRR3994688	paired
SRP080886	SRR3994689	paired
SRP080886	SRR3994690	paired
SRP080886	SRR3994691	paired
SRP080886	SRR3994692	paired
SRP080886	SRR3994693	paired
SRP080886	SRR3994694	paired
SRP080886	SRR3994695	paired
SRP080886	SRR3994696	paired
SRP080886	SRR3994697	paired
SRP080886	SRR3994698	paired
SRP080886	SRR3994699	paired
SRP300190	SRR13347986	single
SRP300190	SRR13347987	single
SRP300190	SRR13347988	single
SRP255891	SRR11519182	single
SRP255891	SRR11519183	single
SRP255891	SRR11519184	single
SRP255891	SRR11519185	single
SRP255891	SRR11519186	single
SRP255891	SRR11519187	single
SRP255891	SRR11519188	single
SRP255891	SRR11519189	single
SRP273695	SRR15431749	single
SRP273695	SRR15431750	single
SRP273695	SRR15431751	paired
SRP273695	SRR15431752	single
SRP273695	SRR15431753	paired
SRP273695	SRR15431754	paired
SRP273695	SRR15431755	single
SRP273695	SRR15431756	single
SRP273695	SRR15431757	paired
SRP273695	SRR15431758	paired
SRP273695	SRR15431759	single
SRP273695	SRR15431760	single
SRP273695	SRR15431761	paired
SRP273695	SRR15431762	paired
SRP273695	SRR15431763	single
SRP273695	SRR15431764	single
SRP273695	SRR15431765	paired
SRP273695	SRR15431766	paired
SRP273695	SRR15431767	single
SRP273695	SRR15431768	single
SRP273695	SRR15431769	paired
SRP273695	SRR15431770	paired
SRP273695	SRR15431771	single
SRP273695	SRR15431772	single
SRP273695	SRR15431773	paired
SRP273695	SRR15431774	paired
SRP273695	SRR15431775	single
SRP273695	SRR15431776	single
